company,open,High,Low,close,change,Trades,Volume,Date
MOBIL,228,-,-,228,,8,"2,070",2021-01-01
MOBIL,228,-,-,228,,5,10,2021-01-04
MOBIL,228,-,-,228,,23,"6,613",2021-01-05
MOBIL,228,-,-,228,,32,"16,182",2021-01-06
MOBIL,228,-,-,228,,28,"34,009",2021-01-07
MOBIL,228,-,-,228,,18,"56,270",2021-01-08
MOBIL,228,-,-,228,,21,"67,836",2021-01-11
MOBIL,228,-,-,228,,12,"30,638",2021-01-12
MOBIL,228,249.5,249.5,249.5,21.5,41,"137,463",2021-01-13
MOBIL,249.5,-,-,249.5,,20,"10,828",2021-01-14
MOBIL,249.5,-,-,249.5,,31,"16,636",2021-01-15
MOBIL,249.5,-,-,249.5,,20,"8,098",2021-01-18
MOBIL,249.5,-,-,249.5,,9,"17,403",2021-01-19
MOBIL,249.5,-,-,249.5,,10,"5,862",2021-01-20
MOBIL,249.5,-,-,249.5,,23,"38,701",2021-01-21
MOBIL,249.5,-,-,249.5,,26,"15,298",2021-01-22
MOBIL,249.5,-,-,249.5,,21,"11,441",2021-01-25
MOBIL,249.5,-,-,249.5,,22,"22,316",2021-01-26
MOBIL,249.5,-,-,249.5,,22,"21,098",2021-01-27
MOBIL,249.5,228,228,228,-21.5,36,"330,359",2021-01-28
MOBIL,228,-,-,228,,27,"49,394",2021-01-29
MOBIL,228,-,-,228,,20,"40,377",2021-02-01
MOBIL,228,-,-,228,,26,"33,856",2021-02-02
MOBIL,228,-,-,228,,20,"32,153",2021-02-03
MOBIL,228,-,-,228,,24,"22,688",2021-02-04MOBIL,228,-,-,228,,10,"11,199",2021-02-05
MOBIL,228,-,-,228,,16,"2,032",2021-02-08
MOBIL,228,-,-,228,,27,"7,661",2021-02-09
MOBIL,228,-,-,228,,33,"64,316",2021-02-10
MOBIL,228,-,-,228,,20,"72,229",2021-02-11
MOBIL,228,-,-,228,,24,"74,300",2021-02-12
MOBIL,228,-,-,228,,10,437,2021-02-15
MOBIL,228,-,-,228,,10,"1,419",2021-02-16
MOBIL,228,-,-,228,,7,"51,191",2021-02-17
MOBIL,228,-,-,228,,3,120,2021-02-18
MOBIL,228,-,-,228,,9,494,2021-02-19
MOBIL,228,-,-,228,,17,"16,904",2021-02-22
MOBIL,228,-,-,228,,13,"11,408",2021-02-24
MOBIL,228,-,-,228,,19,"45,462",2021-02-25
MOBIL,228,-,-,228,,5,"1,182",2021-02-26
MOBIL,228,-,-,228,,4,60,2021-03-01
MOBIL,228,-,-,228,,4,252,2021-03-02
MOBIL,228,-,-,228,,1,4,2021-03-03
MOBIL,228,-,-,228,,3,990,2021-03-04
MOBIL,228,-,-,228,,6,27,2021-03-05
MOBIL,228,-,-,228,,3,260,2021-03-09
MOBIL,228,-,-,228,,4,155,2021-03-10
MOBIL,228,-,-,228,,29,"100,515",2021-03-11
MOBIL,228,-,-,228,,35,"102,927",2021-03-12
MOBIL,228,-,-,228,,4,57,2021-03-15
MOBIL,228,-,-,228,,4,42,2021-03-16
MOBIL,228,-,-,228,,25,"15,246",2021-03-17
MOBIL,228,-,-,228,,5,76,2021-03-18
MOBIL,228,-,-,228,,9,"1,984",2021-03-19
